Stock,Entry Date,Entry Price,Exit Date,Exit Price,P&L (%),Days Held,Outcome
AUBANK.NS,2021-02-02,479.2,2021-02-09,527.12,10.0,7,Target Hit
AUBANK.NS,2021-03-19,591.87,2021-03-19,562.28,-5.0,0,Stop Loss
AUBANK.NS,2021-04-22,547.26,2021-04-22,519.9,-5.0,0,Stop Loss
AUBANK.NS,2021-04-22,529.07,2021-04-22,502.62,-5.0,0,Stop Loss
AUBANK.NS,2021-07-08,571.34,2021-08-06,628.47,10.0,29,Target Hit
AUBANK.NS,2021-06-03,510.27,2021-07-06,561.3,10.0,33,Target Hit
AUBANK.NS,2022-01-05,563.47,2022-01-05,619.82,10.0,0,Target Hit
AUBANK.NS,2022-04-07,670.83,2022-05-06,637.29,-5.0,29,Stop Loss
AUBANK.NS,2022-04-04,647.02,2022-04-13,711.72,10.0,9,Target Hit
AUBANK.NS,2022-03-09,571.62,2022-03-09,543.04,-5.0,0,Stop Loss
AUBANK.NS,2022-05-20,651.9,2022-05-31,619.3,-5.0,11,Stop Loss
AUBANK.NS,2022-06-15,612.8,2022-06-29,582.16,-5.0,14,Stop Loss
AUBANK.NS,2022-08-04,632.72,2022-09-26,601.08,-5.0,53,Stop Loss
AUBANK.NS,2022-09-01,652.34,2022-09-26,619.72,-5.0,25,Stop Loss
AUBANK.NS,2022-10-14,601.13,2022-10-25,571.07,-5.0,11,Stop Loss
AUBANK.NS,2024-05-03,650.5,2024-05-13,617.98,-5.0,10,Stop Loss
AUBANK.NS,2025-01-06,588.74,2025-01-06,559.3,-5.0,0,Stop Loss
AUBANK.NS,2025-01-30,606.54,2025-02-10,576.21,-5.0,11,Stop Loss
AUBANK.NS,2025-04-11,563.14,2025-04-21,619.45,10.0,10,Target Hit
AUBANK.NS,2025-05-08,694.06,2025-06-09,763.47,10.0,32,Target Hit
AUBANK.NS,2025-05-12,702.78,2025-06-09,773.06,10.0,28,Target Hit
AWL.NS,2022-02-14,388.62,2022-02-14,369.19,-5.0,0,Stop Loss
AWL.NS,2022-02-18,367.0,2022-02-21,348.65,-5.0,3,Stop Loss
AWL.NS,2022-02-23,334.15,2022-02-28,367.56,10.0,5,Target Hit
AWL.NS,2022-02-24,351.95,2022-02-24,334.35,-5.0,0,Stop Loss
AWL.NS,2022-03-17,368.02,2022-03-17,349.62,-5.0,0,Stop Loss
AWL.NS,2022-04-12,590.07,2022-04-18,649.08,10.0,6,Target Hit
AWL.NS,2022-05-23,730.27,2022-05-25,693.76,-5.0,2,Stop Loss
AWL.NS,2022-05-20,693.8,2022-05-24,763.18,10.0,4,Target Hit
AWL.NS,2022-05-19,659.12,2022-05-19,626.16,-5.0,0,Stop Loss
AWL.NS,2022-05-18,626.18,2022-05-20,688.8,10.0,2,Target Hit
AWL.NS,2022-05-11,594.92,2022-05-11,565.17,-5.0,0,Stop Loss
AWL.NS,2022-05-18,624.65,2022-05-20,687.12,10.0,2,Target Hit
AWL.NS,2022-05-27,713.8,2022-05-27,678.11,-5.0,0,Stop Loss
AWL.NS,2022-05-26,678.15,2022-05-26,644.24,-5.0,0,Stop Loss
AWL.NS,2022-08-02,710.33,2022-08-05,674.81,-5.0,3,Stop Loss
AWL.NS,2022-08-02,693.45,2022-08-08,658.78,-5.0,6,Stop Loss
AWL.NS,2022-07-13,656.06,2022-07-14,623.26,-5.0,1,Stop Loss
AWL.NS,2022-06-15,635.05,2022-06-16,603.3,-5.0,1,Stop Loss
AWL.NS,2022-06-17,613.33,2022-06-17,582.66,-5.0,0,Stop Loss
AWL.NS,2022-07-25,635.97,2022-07-25,604.17,-5.0,0,Stop Loss
AWL.NS,2022-08-04,711.86,2022-08-05,676.27,-5.0,1,Stop Loss
AWL.NS,2022-08-29,696.3,2022-08-29,661.48,-5.0,0,Stop Loss
AWL.NS,2022-12-28,563.65,2022-12-30,620.02,10.0,2,Target Hit
AWL.NS,2023-02-10,452.01,2023-02-10,429.41,-5.0,0,Stop Loss
AWL.NS,2023-02-09,429.42,2023-02-09,407.95,-5.0,0,Stop Loss
AWL.NS,2023-02-08,407.95,2023-02-10,448.74,10.0,2,Target Hit
AWL.NS,2023-02-07,387.55,2023-02-07,368.17,-5.0,0,Stop Loss
AWL.NS,2023-02-20,444.62,2023-02-20,422.39,-5.0,0,Stop Loss
AWL.NS,2023-02-17,422.38,2023-02-22,401.26,-5.0,5,Stop Loss
AWL.NS,2023-02-15,401.27,2023-02-20,441.4,10.0,5,Target Hit
AWL.NS,2023-03-02,398.11,2023-03-06,437.92,10.0,4,Target Hit
AWL.NS,2023-02-28,351.34,2023-02-28,333.77,-5.0,0,Stop Loss
AWL.NS,2023-05-23,483.89,2023-05-25,459.7,-5.0,2,Stop Loss
AWL.NS,2023-03-29,375.51,2023-04-06,413.06,10.0,8,Target Hit
AWL.NS,2024-04-30,351.95,2024-05-09,334.35,-5.0,9,Stop Loss
AWL.NS,2024-08-05,390.81,2024-08-05,371.27,-5.0,0,Stop Loss
AWL.NS,2024-08-21,392.85,2024-08-21,373.21,-5.0,0,Stop Loss
AWL.NS,2024-12-30,334.2,2024-12-31,317.49,-5.0,1,Stop Loss
AWL.NS,2024-11-25,300.8,2024-12-30,330.88,10.0,35,Target Hit
AWL.NS,2025-04-08,271.47,2025-05-06,257.9,-5.0,28,Stop Loss
AWL.NS,2025-06-11,280.5,2025-06-13,266.47,-5.0,2,Stop Loss
AADHARHFC.NS,2024-08-12,435.69,2024-08-13,413.91,-5.0,1,Stop Loss
AADHARHFC.NS,2025-01-28,392.34,2025-01-28,372.72,-5.0,0,Stop Loss
AADHARHFC.NS,2025-03-11,435.44,2025-03-13,413.67,-5.0,2,Stop Loss
AADHARHFC.NS,2025-04-03,452.83,2025-04-07,430.19,-5.0,4,Stop Loss
AADHARHFC.NS,2025-04-09,458.85,2025-05-09,435.91,-5.0,30,Stop Loss
AADHARHFC.NS,2025-05-12,462.82,2025-05-12,439.68,-5.0,0,Stop Loss
AARTIIND.NS,2020-09-14,533.46,2020-09-21,506.79,-5.0,7,Stop Loss
AARTIIND.NS,2021-01-04,632.0,2021-01-18,600.4,-5.0,14,Stop Loss
AARTIIND.NS,2021-04-23,718.25,2021-04-30,790.08,10.0,7,Target Hit
AARTIIND.NS,2021-12-28,980.22,2022-01-10,1078.24,10.0,13,Target Hit
AARTIIND.NS,2022-03-31,946.19,2022-04-25,898.88,-5.0,25,Stop Loss
AARTIIND.NS,2022-03-10,839.21,2022-03-21,923.13,10.0,11,Target Hit
AARTIIND.NS,2022-08-30,818.57,2022-09-14,900.43,10.0,15,Target Hit
AARTIIND.NS,2023-02-06,538.48,2023-02-06,511.56,-5.0,0,Stop Loss
AARTIIND.NS,2023-08-29,482.47,2023-09-14,530.72,10.0,16,Target Hit
AARTIIND.NS,2023-11-13,519.45,2023-12-05,571.4,10.0,22,Target Hit
AARTIIND.NS,2024-05-16,633.42,2024-06-04,601.75,-5.0,19,Stop Loss
AARTIIND.NS,2024-08-07,753.17,2024-08-13,715.51,-5.0,6,Stop Loss
AARTIIND.NS,2025-02-06,468.84,2025-02-11,445.4,-5.0,5,Stop Loss
AARTIIND.NS,2025-04-11,381.53,2025-04-21,419.68,10.0,10,Target Hit
AARTIIND.NS,2025-05-07,444.01,2025-05-19,488.41,10.0,12,Target Hit
AAVAS.NS,2020-09-30,1430.19,2020-11-23,1573.21,10.0,54,Target Hit
AAVAS.NS,2020-12-23,1715.54,2021-01-04,1887.09,10.0,12,Target Hit
AAVAS.NS,2021-02-01,1890.11,2021-02-01,1795.6,-5.0,0,Stop Loss
AAVAS.NS,2021-05-11,2252.67,2021-06-07,2477.94,10.0,27,Target Hit
AAVAS.NS,2021-06-21,2562.44,2021-06-21,2434.32,-5.0,0,Stop Loss
AAVAS.NS,2021-09-23,2543.12,2021-10-11,2797.43,10.0,18,Target Hit
AAVAS.NS,2021-10-29,2827.24,2021-10-29,2685.88,-5.0,0,Stop Loss
AAVAS.NS,2022-01-05,2908.48,2022-01-05,2763.06,-5.0,0,Stop Loss
AAVAS.NS,2022-02-17,3081.22,2022-02-22,2927.16,-5.0,5,Stop Loss
AAVAS.NS,2022-02-22,3077.54,2022-02-22,2923.66,-5.0,0,Stop Loss
AAVAS.NS,2022-07-20,2277.35,2022-07-20,2163.48,-5.0,0,Stop Loss
AAVAS.NS,2024-07-25,1794.44,2024-07-31,1704.72,-5.0,6,Stop Loss
AAVAS.NS,2024-08-12,1706.87,2024-09-06,1877.56,10.0,25,Target Hit
AAVAS.NS,2025-03-10,1759.55,2025-03-20,1935.5,10.0,10,Target Hit
AAVAS.NS,2025-03-11,1787.4,2025-03-11,1698.03,-5.0,0,Stop Loss
AAVAS.NS,2025-04-08,2093.14,2025-04-11,1988.48,-5.0,3,Stop Loss
AAVAS.NS,2025-06-16,1863.95,2025-06-19,1988.48,6.68,3,Stop Loss
ABBOTINDIA.NS,2022-02-25,16785.2,2022-03-24,15945.94,-5.0,27,Stop Loss
ABBOTINDIA.NS,2022-03-09,17217.28,2022-03-22,16356.42,-5.0,13,Stop Loss
ABBOTINDIA.NS,2022-05-20,17627.66,2022-07-20,19390.43,10.0,61,Target Hit
ABBOTINDIA.NS,2024-02-02,26008.67,2024-02-14,28609.54,10.0,12,Target Hit
ABBOTINDIA.NS,2024-07-26,28503.95,2024-08-12,27078.75,-5.0,17,Stop Loss
ABBOTINDIA.NS,2025-02-25,30395.59,2025-04-04,28875.81,-5.0,38,Stop Loss
ABBOTINDIA.NS,2025-02-25,29912.01,2025-04-07,28416.41,-5.0,41,Stop Loss
ABBOTINDIA.NS,2025-04-11,29658.95,2025-06-19,28416.41,-4.19,69,Stop Loss
ACE.NS,2020-08-20,71.18,2020-08-20,67.62,-5.0,0,Stop Loss
ACE.NS,2020-09-04,63.29,2020-09-04,60.13,-4.99,0,Stop Loss
ACE.NS,2021-02-26,157.56,2021-02-26,149.68,-5.0,0,Stop Loss
ACE.NS,2021-05-19,154.97,2021-05-25,170.47,10.0,6,Target Hit
ACE.NS,2021-04-23,149.91,2021-05-03,142.41,-5.0,10,Stop Loss
ACE.NS,2021-06-21,225.95,2021-06-21,214.65,-5.0,0,Stop Loss
ACE.NS,2021-09-22,271.79,2021-09-22,258.2,-5.0,0,Stop Loss
ACE.NS,2021-12-08,230.53,2021-12-08,219.0,-5.0,0,Stop Loss
ACE.NS,2022-02-14,214.64,2022-02-14,203.91,-5.0,0,Stop Loss
ACE.NS,2022-03-31,228.55,2022-04-13,217.12,-5.0,13,Stop Loss
ACE.NS,2022-03-31,228.5,2022-04-13,217.08,-5.0,13,Stop Loss
ACE.NS,2022-03-17,223.73,2022-03-21,212.54,-5.0,4,Stop Loss
ACE.NS,2022-03-10,220.84,2022-03-29,209.8,-5.0,19,Stop Loss
ACE.NS,2022-03-10,218.15,2022-03-31,239.97,10.0,21,Target Hit
ACE.NS,2022-05-17,191.75,2022-05-19,182.16,-5.0,2,Stop Loss
ACE.NS,2022-05-23,194.75,2022-05-25,185.01,-5.0,2,Stop Loss
ACE.NS,2022-06-22,213.63,2022-06-22,202.95,-5.0,0,Stop Loss
ACE.NS,2022-06-22,212.06,2022-06-22,201.46,-5.0,0,Stop Loss
ACE.NS,2022-10-06,291.34,2022-10-14,276.77,-5.0,8,Stop Loss
ACE.NS,2023-03-27,384.15,2023-04-24,422.56,10.0,28,Target Hit
ACE.NS,2023-09-18,730.69,2023-09-20,694.16,-5.0,2,Stop Loss
ACE.NS,2023-12-21,827.34,2023-12-21,785.97,-5.0,0,Stop Loss
ACE.NS,2024-04-22,1518.01,2024-04-22,1442.11,-5.0,0,Stop Loss
ACE.NS,2024-10-30,1247.36,2024-10-30,1184.99,-5.0,0,Stop Loss
ACE.NS,2025-02-20,1227.62,2025-02-25,1166.24,-5.0,5,Stop Loss
ACE.NS,2025-03-11,1156.88,2025-03-11,1099.04,-5.0,0,Stop Loss
ACE.NS,2025-05-16,1288.67,2025-06-13,1224.24,-5.0,28,Stop Loss
ADANIENSOL.NS,2023-09-06,858.53,2023-09-06,815.6,-5.0,0,Stop Loss
ADANIENSOL.NS,2024-04-01,1066.77,2024-04-15,1013.43,-5.0,14,Stop Loss
ADANIENSOL.NS,2024-05-21,1090.28,2024-05-21,1035.77,-5.0,0,Stop Loss
ADANIENSOL.NS,2024-08-13,1125.88,2024-08-13,1069.59,-5.0,0,Stop Loss
ADANIENSOL.NS,2024-11-28,711.2,2024-11-29,782.32,10.0,1,Target Hit
ADANIENSOL.NS,2024-12-20,809.73,2024-12-20,769.24,-5.0,0,Stop Loss
ADANIENSOL.NS,2025-04-15,876.59,2025-04-24,964.25,10.0,9,Target Hit
ADANIENSOL.NS,2025-05-16,925.55,2025-05-20,879.27,-5.0,4,Stop Loss
ADANIENSOL.NS,2025-05-12,855.78,2025-06-19,879.27,2.74,38,Stop Loss
ADANIENT.NS,2020-08-07,189.1,2020-08-07,179.64,-5.0,0,Stop Loss
ADANIENT.NS,2020-10-05,312.76,2020-10-30,344.04,10.0,25,Target Hit
ADANIENT.NS,2020-09-10,296.18,2020-09-15,281.37,-5.0,5,Stop Loss
ADANIENT.NS,2021-04-23,1178.64,2021-05-03,1119.71,-5.0,10,Stop Loss
ADANIENT.NS,2021-06-18,1472.84,2021-06-18,1399.2,-5.0,0,Stop Loss
ADANIENT.NS,2021-07-22,1404.92,2021-08-06,1545.41,10.0,15,Target Hit
ADANIENT.NS,2022-01-25,1746.03,2022-01-27,1658.73,-5.0,2,Stop Loss
ADANIENT.NS,2022-03-10,1714.89,2022-03-28,1886.38,10.0,18,Target Hit
ADANIENT.NS,2022-03-10,1718.45,2022-03-28,1890.3,10.0,18,Target Hit
ADANIENT.NS,2022-07-08,2295.13,2022-07-25,2524.64,10.0,17,Target Hit
ADANIENT.NS,2022-08-30,3196.22,2022-09-13,3515.84,10.0,14,Target Hit
ADANIENT.NS,2023-02-03,1593.5,2023-02-03,1513.82,-5.0,0,Stop Loss
ADANIENT.NS,2023-02-10,1960.46,2023-02-10,1862.44,-5.0,0,Stop Loss
ADANIENT.NS,2023-03-03,1753.79,2023-03-06,1929.17,10.0,3,Target Hit
ADANIENT.NS,2023-03-02,1599.46,2023-03-02,1519.49,-5.0,0,Stop Loss
ADANIENT.NS,2023-02-28,1215.04,2023-02-28,1336.54,10.0,0,Target Hit
ADANIENT.NS,2023-03-02,1592.53,2023-03-02,1512.9,-5.0,0,Stop Loss
ADANIENT.NS,2023-05-11,1988.4,2023-05-15,1888.98,-5.0,4,Stop Loss
ADANIENT.NS,2023-04-28,1910.42,2023-05-03,1814.9,-5.0,5,Stop Loss
ADANIENT.NS,2023-08-18,2587.92,2023-08-28,2458.52,-5.0,10,Stop Loss
ADANIENT.NS,2023-09-11,2561.02,2023-09-25,2432.97,-5.0,14,Stop Loss
ADANIENT.NS,2024-03-28,3191.92,2024-04-18,3032.32,-5.0,21,Stop Loss
ADANIENT.NS,2024-08-08,3222.47,2024-08-12,3061.35,-5.0,4,Stop Loss
ADANIENT.NS,2024-11-22,2226.18,2024-11-22,2114.87,-5.0,0,Stop Loss
ADANIENT.NS,2025-03-06,2263.55,2025-04-07,2150.37,-5.0,32,Stop Loss
ADANIENT.NS,2025-04-15,2380.13,2025-05-08,2261.12,-5.0,23,Stop Loss
ADANIGREEN.NS,2020-08-28,449.26,2020-08-31,494.19,10.0,3,Target Hit
ADANIGREEN.NS,2020-08-25,426.82,2020-08-25,405.48,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-07-07,405.5,2020-07-07,385.22,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-07-06,385.25,2020-07-06,365.99,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-07-03,366.03,2020-07-07,402.63,10.0,4,Target Hit
ADANIGREEN.NS,2020-07-02,347.77,2020-07-02,330.38,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-08-24,400.96,2020-08-24,380.91,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-07-10,381.07,2020-07-10,362.02,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-08-12,367.86,2020-08-24,404.65,10.0,12,Target Hit
ADANIGREEN.NS,2020-09-09,582.73,2020-09-09,553.59,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-09-07,553.6,2020-09-07,525.92,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-09-09,575.69,2020-09-09,546.91,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-09-28,664.78,2020-09-30,731.26,10.0,2,Target Hit
ADANIGREEN.NS,2020-09-24,600.02,2020-09-24,570.02,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-10-28,750.62,2020-10-30,825.68,10.0,2,Target Hit
ADANIGREEN.NS,2020-10-29,792.39,2020-11-02,871.63,10.0,4,Target Hit
ADANIGREEN.NS,2020-11-05,857.72,2020-11-05,814.83,-5.0,0,Stop Loss
ADANIGREEN.NS,2020-11-20,1105.17,2020-11-24,1215.69,10.0,4,Target Hit
ADANIGREEN.NS,2020-12-17,1057.43,2020-12-18,1004.56,-5.0,1,Stop Loss
ADANIGREEN.NS,2020-12-31,1062.33,2021-01-11,1009.21,-5.0,11,Stop Loss
ADANIGREEN.NS,2020-12-23,1040.71,2021-01-11,988.67,-5.0,19,Stop Loss
ADANIGREEN.NS,2021-06-14,1242.05,2021-06-14,1179.95,-5.0,0,Stop Loss
ADANIGREEN.NS,2021-09-09,1206.4,2021-09-14,1146.08,-5.0,5,Stop Loss
ADANIGREEN.NS,2021-06-22,1146.12,2021-07-01,1088.81,-5.0,9,Stop Loss
ADANIGREEN.NS,2021-06-21,1088.9,2021-06-21,1034.46,-5.0,0,Stop Loss
ADANIGREEN.NS,2021-09-09,1189.47,2021-09-15,1130.0,-5.0,6,Stop Loss
ADANIGREEN.NS,2021-08-31,1090.07,2021-09-09,1199.08,10.0,9,Target Hit
ADANIGREEN.NS,2021-07-08,1035.61,2021-07-13,983.83,-5.0,5,Stop Loss
ADANIGREEN.NS,2021-07-06,983.84,2021-07-06,934.65,-5.0,0,Stop Loss
ADANIGREEN.NS,2021-08-26,998.73,2021-08-31,1098.6,10.0,5,Target Hit
ADANIGREEN.NS,2021-07-22,964.0,2021-07-22,915.8,-5.0,0,Stop Loss
ADANIGREEN.NS,2021-12-13,1433.15,2021-12-20,1361.49,-5.0,7,Stop Loss
ADANIGREEN.NS,2021-12-01,1321.31,2021-12-01,1255.24,-5.0,0,Stop Loss
ADANIGREEN.NS,2022-01-25,1874.61,2022-01-25,1780.88,-5.0,0,Stop Loss
ADANIGREEN.NS,2022-02-23,1995.02,2022-02-24,1895.27,-5.0,1,Stop Loss
ADANIGREEN.NS,2022-03-30,2027.1,2022-03-30,1925.74,-5.0,0,Stop Loss
ADANIGREEN.NS,2022-03-02,1880.27,2022-03-07,1786.26,-5.0,5,Stop Loss
ADANIGREEN.NS,2022-03-17,1932.19,2022-03-17,1835.58,-5.0,0,Stop Loss
ADANIGREEN.NS,2022-06-02,1926.73,2022-06-02,1830.39,-5.0,0,Stop Loss
ADANIGREEN.NS,2022-08-30,2440.6,2022-09-08,2318.57,-5.0,9,Stop Loss
ADANIGREEN.NS,2022-09-20,2382.36,2022-09-26,2263.24,-5.0,6,Stop Loss
ADANIGREEN.NS,2023-01-30,1515.98,2023-01-30,1440.18,-5.0,0,Stop Loss
ADANIGREEN.NS,2023-01-31,1212.78,2023-01-31,1152.14,-5.0,0,Stop Loss
ADANIGREEN.NS,2023-03-27,1060.65,2023-03-27,1007.62,-5.0,0,Stop Loss
ADANIGREEN.NS,2023-03-23,954.62,2023-03-27,1050.08,10.0,4,Target Hit
ADANIGREEN.NS,2023-02-07,906.88,2023-02-07,861.54,-5.0,0,Stop Loss
ADANIGREEN.NS,2023-03-20,818.5,2023-03-20,777.58,-5.0,0,Stop Loss
